"","x"
"1",2
"2",2
"3",1
"4",1
"5",2
"6",2
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",2
"15",2
"16",1
"17",1
"18",2
"19",2
"20",2
"21",2
"22",2
"23",1
"24",1
"25",2
"26",1
"27",2
"28",2
"29",1
"30",1
"31",2
"32",2
"33",2
"34",1
"35",2
"36",2
"37",2
"38",2
"39",2
"40",1
"41",1
"42",2
"43",1
"44",2
"45",2
"46",1
"47",1
"48",1
"49",2
"50",1
"51",2
"52",1
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",1
"67",1
"68",1
"69",2
"70",2
"71",2
"72",1
"73",2
"74",2
"75",1
"76",1
"77",2
"78",1
"79",2
"80",2
"81",2
"82",1
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",1
"90",2
"91",2
"92",1
"93",1
"94",2
"95",1
"96",1
"97",2
"98",2
"99",1
"100",2
"101",1
"102",2
"103",2
"104",2
"105",1
"106",2
"107",2
"108",2
"109",2
"110",1
"111",1
"112",2
"113",2
"114",1
"115",2
"116",2
"117",1
"118",2
"119",1
"120",1
"121",2
"122",1
"123",2
"124",1
"125",1
"126",1
"127",2
"128",1
"129",1
"130",1
"131",2
"132",2
"133",1
"134",2
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",2
"142",2
"143",1
"144",1
"145",2
"146",2
"147",2
"148",2
"149",2
"150",1
"151",1
"152",1
"153",2
"154",2
"155",2
"156",2
"157",1
"158",2
"159",1
"160",1
"161",1
"162",2
"163",1
"164",1
"165",2
"166",1
"167",1
"168",2
"169",1
"170",2
"171",1
"172",1
"173",2
"174",1
"175",1
"176",1
"177",1
"178",2
"179",2
"180",1
"181",2
"182",2
"183",2
"184",1
"185",1
"186",1
"187",2
"188",2
"189",2
"190",1
"191",1
"192",1
"193",1
"194",1
"195",2
"196",1
"197",1
"198",2
"199",1
"200",2
"201",1
"202",1
"203",2
"204",1
"205",2
"206",1
"207",2
"208",2
"209",1
"210",1
"211",1
"212",2
"213",1
"214",2
