"","x"
"1",2
"2",2
"3",2
"4",1
"5",1
"6",2
"7",2
"8",2
"9",1
"10",2
"11",2
"12",1
"13",1
"14",2
"15",2
"16",1
"17",1
"18",1
"19",1
"20",2
"21",2
"22",2
"23",2
"24",1
"25",2
"26",1
"27",2
"28",2
"29",2
"30",1
"31",2
"32",1
"33",2
"34",1
"35",2
"36",1
"37",1
"38",2
"39",1
"40",2
"41",2
"42",2
"43",2
"44",1
"45",1
"46",2
"47",1
"48",2
"49",2
"50",2
"51",2
"52",2
"53",1
"54",1
"55",1
"56",1
"57",2
"58",1
"59",2
"60",1
"61",2
"62",1
"63",1
"64",2
"65",2
"66",1
"67",1
"68",1
"69",2
"70",1
"71",2
"72",2
"73",1
"74",1
"75",1
"76",1
"77",2
"78",2
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",2
"86",1
"87",2
"88",1
"89",2
"90",1
"91",2
"92",2
"93",2
"94",1
"95",2
"96",1
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",1
"104",2
"105",2
"106",1
"107",1
"108",1
"109",2
"110",1
"111",1
"112",2
"113",1
"114",1
"115",1
"116",2
"117",1
"118",2
"119",2
"120",1
"121",1
"122",2
"123",2
"124",1
"125",1
"126",2
"127",1
"128",1
"129",2
"130",1
"131",2
"132",1
"133",1
"134",1
"135",2
"136",2
"137",2
"138",2
"139",1
"140",1
"141",1
"142",2
"143",1
"144",1
"145",2
"146",1
"147",1
"148",2
"149",2
"150",2
"151",1
"152",2
"153",1
"154",2
"155",1
"156",1
"157",1
"158",1
"159",2
"160",1
"161",2
"162",1
"163",2
"164",1
"165",1
"166",2
"167",2
"168",1
"169",1
"170",1
"171",2
"172",1
"173",1
"174",1
"175",2
"176",1
"177",1
"178",1
"179",1
"180",1
"181",2
"182",2
"183",1
"184",1
"185",2
"186",2
"187",2
"188",2
"189",1
"190",1
"191",1
"192",2
"193",1
"194",1
"195",2
"196",2
"197",2
"198",2
"199",1
"200",2
"201",2
"202",1
"203",2
"204",2
"205",2
"206",2
"207",2
"208",1
"209",2
"210",2
"211",1
"212",2
"213",1
"214",2
